2MASSID,RA,DEC,S/N,Vr,Teff,Logg,[Fe/H],[Alpha/Fe],Chi^2,[K/Fe],[K/Fe] Error,[Na/Fe],[Na/Fe],[K/Fe] Error,[Na/Fe] Error
-,[deg],[deg],-,[km/s],[K],log10(g [cm^-2]),[dex],[dex],-,[dex],[dex],[dex],[dex],[dex],[dex]
J192937.24+390211.0,292.4052,39.0364,6,-52.16,4819,3,0.37,0.12,0.21,0.87,0.31,-0.19,0.2,0.24,0
J193130.64+432204.2,292.8777,43.3678,16,-92.64,4934,3.08,-0.16,0.3,0.26,1.01,0.21,-0.06,0.2,0.06,0
J193217.91+374505.6,293.0746,37.7516,28,-70.15,4982,2.62,-0.48,0.33,0.55,1.05,0.21,0.55,0.24,0.06,0.14
J194028.76+504047.6,295.1198,50.6799,22,-61.76,4352,1.94,-0.17,0.23,0.35,1,0.2,0.61,0.22,0.04,0.08
J213914.06+025536.2,324.8086,2.9267,29,57.78,4488,2.4,-0.37,0.05,0.46,1.04,0.21,0.67,0.22,0.05,0.09
J214721.25+023958.7,326.8385,2.6663,104,-63.83,4649,2.22,-0.68,0.26,0.81,1.18,0.21,0.87,0.2,0.05,0.02
J220115.66-001432.2,330.3153,-0.2423,47,38.37,4925,3.3,0.06,0.23,0.32,0.95,0.42,-0.07,0.2,0.37,0
J220657.78+232138.3,331.7408,23.3607,50,-27.58,4842,3.34,-0.4,0.1,0.23,0.88,0.26,-0.18,0.2,0.16,0
J234942.32+300654.0,357.4264,30.1150,20,-195.46,4004,1.12,-0.58,0.23,2.73,0.89,0.22,-0.1,0.2,0.1,0
J235454.61+110356.9,358.7276,11.0658,12,-109.72,4794,3.07,-0.16,0.3,0.21,1.01,0.22,0.54,0.32,0.09,0.25
